novel_title,novel_genre,novel_writer,novel_img,novel_content,platform_ridi,나눔
라스트 아틀란티스,romancefantasy,김지유,https://img.ridicdn.net/cover/2213012300/xxlarge?dpi=xxhdpi#1,"<라스트 아틀란티스> 이든은 타인을 향한 맹목적인 사랑을 이해하지 못하는, 지극히 이성적인 지성인이었다.
…시안을 알게 되기 전까진.

군인치고는 지극히 약한 체력, 밥도 새 모이처럼 먹는 데다가 만사 귀찮아 하는 태도,
동면하는 곰처럼 하루 중 대부분의 시간을 잠으로 때우기까지… 뭐 하나 손 안 가는 데가 없는 사람이었다.
그래도 우주선의 의사로 왔으니 의무만 다하면 된다고 생각했는데…

“정 박사님은…, 굉장히 다정하고 희생적인 성격인 것 같습니다.”
“제가요?”
“네. 이런 말이 어떻게 들릴지 모르겠지만 정 박사님 덕분에 의사라는 직종 전체를 다시 보게 되었습니다.”

시안의 말에 내내 평정심을 잘 지키고 있던 이든이 불현듯 못내 당혹스러운 얼굴을 했다. 
다정하고 희생적인…? 자신이 누군가에게 이런 평가를 받았다는 걸 알게 되면 크게 경악할 몇몇 지인들의 얼굴이 떠오르자 이든은 등골이 오싹해졌다.",https://ridibooks.com/books/2213012137?_rdt_sid=category_6050&_rdt_idx=0,나눔
원작 소설 여주가 탈주했다,romancefantasy,블루라군,https://img.ridicdn.net/cover/4544005943/xxlarge?dpi=xxhdpi#1,"<원작 소설 여주가 탈주했다> 19금 역하렘 소설 속에서 환생했다. 여주인공을 살해하려다 실패하고 죽는 악역으로.

날 죽일 약혼자와 파혼하고 잘 먹고 잘 살고 싶은데, 
남주 후보 중 하나였던 인외남주를 유혹하는 데 성공한 여주가 원래 세계로 돌아가 버렸다. 

그것도 남은 남주 후보들을 내게 떠넘긴 채로!

“앞으로 여주로서 역경을 잘 헤쳐나가길 바라요, 파이팅!”
“자, 잠깐만요. 기다려요! 아니, 이렇게 가면 난 어떻게 하라고!”

* * *

“두 번 다시 그대에게 실수하지 않겠다고 맹세해.”
날 함부로 대한 걸 후회한다는 황태자.

“죄라면 매순간 짓고 있습니다.”
파계도 불사하겠다는 성기사단장.

“나쁘지 않은 것 같아. 그 지옥을 버틴 대가가 너라면.”
은혜를 몸으로 갚겠다는 살인귀 북부대공.

그리고 정체를 알 수 없는 미지의 남주까지. 

4명의 남자가 서로 자신을 선택하라고 강요하기 시작하는데.",https://ridibooks.com/books/4544005750?_rdt_sid=category_6050&_rdt_idx=0,나눔
"답장을 주세요, 왕자님",romancefantasy,유폴히,https://img.ridicdn.net/cover/4805000122/xxlarge?dpi=xxhdpi#1,"<답장을 주세요, 왕자님>
[이용 안내]
※이전에 서비스된 <답장을 주세요, 왕자님>을 재출간한 작품입니다.
※다만, 외전 1화에서 완결까지의 내용은 이전에 공개된 바 없는 신규 외전인 점 이용에 참고 부탁드립니다.

[도서 안내]
우연한 기회로 얻은 골동품 서책 보관함.
그곳에 편지를 적어 넣었더니 답장이 돌아왔다.
동화 <공주와 기사> 속 한심한 조연, 잘생긴 한량 왕자님 아치 앨버트에게서.

소설 속 주인공과 대화를 나누게 된 일이 꿈만 같은 코델리아,
자신이 사는 세상 속에서 벌어질 미래의 일들을 모두 아는 코델리아가 신기하기만 한 아치 왕자,
두 사람이 서책 보관함을 통해 주고받는 편지는 여름밤이 새는 줄도 모르고 계속되는데….

***

「아치,
그런 적 있으세요?
누군가와 걸어가는데, 그 길에 꽃이 피어나는 거예요.」

「그래서 그 남자랑 했어요?」

「저열한 아치,
정말 저질이시네요, 왕자님.
유감스럽게도 전 처음 만난 남자랑 자기엔 너무 생각이 많은 여자랍니다.」

「자요? 전 키스 말한 건데요.」

「아, 키스요?」

#서간체 #한량남주 #미남남주 #자꾸읽씹하는남주 #편집자여주 #발랄여주 #힐링물 #편지로티키타카

일러스트: SUKJA",https://ridibooks.com/books/4805000003?_rdt_sid=category_6050&_rdt_idx=0,나눔
계약 결혼일 뿐이었다,romancefantasy,달슬,https://img.ridicdn.net/cover/4863000151/xxlarge?dpi=xxhdpi#1,"<계약 결혼일 뿐이었다>


적국에 끌려온 패망국의 황녀, 추락하는 모습마저 아름다운 그란델의 보물.
그러나 머지않아 목이 매달려 야만인들에게 진상될 포로.

엘리제는 그 운명을 피해 어떻게든 살아보고자 했다.
얼토당토않은 거짓말을 해서라도.

선택지는 단 하나.
반옐라의 번견, 적국의 총사령관.
그리고 비천하고 광포한 용인(龍人), 레제트 키르스탄.

엘리제는 눈앞의 이 차갑고 완고한 사내를 설득해야만 했다.
그녀가 떨리는 목소리로 말했다.

“내가, 당신의 아이를 낳아 줄게요.”

일러스트: pilyeon",https://ridibooks.com/books/4863000003?_rdt_sid=category_6050&_rdt_idx=0,나눔
완벽한 신붓감,romancefantasy,남망사,https://img.ridicdn.net/cover/5107000100/xxlarge?dpi=xxhdpi#1,"<완벽한 신붓감>
평범한 남작 영애 나탈리는 사교계 데뷔 3년 차다.
즉, 이번 시즌 안에 결혼하지 못하면 소위 '하자 있는 신붓감'으로 낙인이 찍히고 만다!
나탈리는 진지하게 신랑감을 찾기로 마음을 먹지만, 결혼은커녕 모종의 이유로 '관능 소설 작가'로 활동한 사실을 들켜 사교계에서 매장당한다.

그로부터 3년 후.
기묘한 무도회 초대에 응한 나탈리는 그곳에서 우연히 왕자의 비밀스러운 계획을 엿듣고 만다.
왕자가 그녀에게 말했다.

""생각하면 할수록 내 신부로 그대만 한 여자가 없어. 그대 생각엔 어때?""

결혼도 하고, 이혼도 하자고.

""그대도 나만한 남자가 없을 걸.""

뭘 잘못 처드신 게 분명하지.
나탈리는 왕자가 미쳤다고 생각했다.

일러스트: 코바",https://ridibooks.com/books/5107000001?_rdt_sid=category_6050&_rdt_idx=0,나눔
빙의했더니 괴담이 돼 버렸다,romancefantasy,설탕후루,https://img.ridicdn.net/cover/4956000200/xxlarge?dpi=xxhdpi#1,"<빙의했더니 괴담이 돼 버렸다>
로판에 빙의했다.

문제는 하필 원래 몸 주인의 장례식 날, 관 속에서 깨어났다는 거.
게다가 읽은 소설이 너무 많아서 작품을 특정할 수도 없다. 가족은 매몰차고 하녀들이 벌벌 떠는 걸 보니 난 아무래도 악녀에 빙의한 것 같다.
일단 로판 경력을 발휘해 악녀부터 탈출해야겠다!
그러다가 이상한 문양을 발견했다.

""이게 뭐지?""

[□□를 소환하는 방법]

정령이나 드래곤을 불러올 수 있는 소환 진인가?
잘 됐다. 악녀는 자기 몸 지킬 능력 하나 정도는 필요하다고.

“야옹”

그런데 정령이나 드래곤이 아닌 왜 눈 세 개 달린 표범 무늬 치즈 냥이에게 간택당한 걸까? 뭐, 귀여우니까 상관없지만!

***

로한슨 백작가에는 괴물이 산다.
죽은 에반젤린 아가씨의 가죽을 뒤집어쓴 괴물이.

세상이 로판인 줄 아는 여주와
여주 때문에 괴담을 경험하는 주변 사람들

일러스트: 양개",https://ridibooks.com/books/4956000001?_rdt_sid=category_6050&_rdt_idx=0,나눔
삼국지에 집착 남주가 왜 나와요?,romancefantasy,무밍구,https://img.ridicdn.net/cover/3049028478/xxlarge?dpi=xxhdpi#1,"<삼국지에 집착 남주가 왜 나와요?>
삼국지 패러디 소설에 빙의했다.
삼국 통일이고 뭐고 여기가 꽃밭이니 고운 얼굴들 구경이나 좀 하고 싶다만
세계관 최강 미친놈이라는 여포가 눈앞에 나타났다.

“고개 돌리지 마세요. 다른 이를 보시면 그게 누구든. 눈에 담는 이는 전부 죽일 것입니다.”

얼굴이 미쳤다고 했지, 진짜 미쳤다고는 안 했는데...?
여포가 집착남이라는 말도 없었잖아요!

게다가 눈 돌아가게 고운 여포는 머지않은 미래에 죽는단다.

여포의 사망 엔딩을 막아 보고자 바쁘게 돌아다니지만,
남장이 문제였을까, 책사 노릇이 문제였을까.
미래 따위 개뿔도 모르는데 웬걸, 꽃들이 나를 가지려 싸워 댄다.

저기,
이 소설, 어차피 남주는 유비라고 하지 않았나?
너네 갑자기 나한테 왜 이래?",https://ridibooks.com/books/3049028478?_rdt_sid=category_6050&_rdt_idx=0,나눔
나의 데드 엔딩 후에,romancefantasy,남망사,https://img.ridicdn.net/cover/1629003952/xxlarge?dpi=xxhdpi#1,"<나의 데드 엔딩 후에>
죽음이 가까워진 순간,
이 세계가 고작 누군가의 작품에 불과하다는 것을 깨달았다.

내 가족이 죽은 것도, 뭐 하나 쉬운 게 없던 내 삶도.
전부 여주인공의 각성과 화려한 결말을 위한 장치였다.
나 빼고 모두가 행복해진다니, 너무하지 않은가.

‘웃기고 있네. 누가 죽어 준대?’

망할 소설 따위 어떻게 되든 내 알 바 아니었다.
원작대로 죽지 않고 악착같이 살아남아 봤다.
그런데…… 남주의 형과 팔자에도 없는 로맨스가 시작됐다.

“설마, 나를, 나를 뭐, 좋아해요?”
“정확히는 사랑이 맞습니다. 아이사 님, 당신 옆자리에 절 둬 주세요.”
“…….”
“부디, 저를 행복하게 해 주세요.”

날 사랑한다고? 그건 어리석은 당신의 착각이다.
하지만 나는 착각이라고 정정해 주지 않을 거야.
그대는, 이용 가치가 많은 사람이거든.

“그대가 선택한 거야.”

나는 그렇게 말하며 팔을 뻗어 그의 멱살을 잡아다 끌어당겼다.
그는 순순히 내게 이끌렸다.

“당신께서 제 손을 잡고 이 방을 나서시면 저는, 평생 행복할 거예요.”

이 손을 잡으면 많은 것이 달라질 것을 안다.
그럼에도 나는 그 밤,
제국의 최고 미남 노마 디아시의 손을 잡고 말았다.",https://ridibooks.com/books/1629003952?_rdt_sid=category_6050&_rdt_idx=0,나눔
동백꽃,romancefantasy,켄,https://img.ridicdn.net/cover/211040415/xxlarge?dpi=xxhdpi#1,"<동백꽃>
* 키워드 : 여주판, 대체역사물, 판타지물, 동양풍, NL, GL, 차원이동, 삼국지, 군대물, 남장여자, 천재, 라이벌/앙숙, 삼각관계, 능력남, 직진남, 능글남, 집착남, 까칠남, 오만남, 대형견남, 헌신남, 먼치킨남, 뇌섹녀, 능력녀, 계략녀, 까칠녀, 냉정녀, 우월녀, 걸크러시, 양날개엔딩, 여주중심, 이야기중심

* 본 도서는 삼국지 세계관을 기반으로 하고 있으므로 이용에 참고 부탁드립니다.

어느 날 눈을 떠 보니 동백은 한참 어려져 있었다.
분명 평범한 대학생의 삶을 영위하는 중이었는데,
삼국지 시대로 떨어져 버린 것이다.

“어…… 여기가 무슨 나라죠?”
“한(漢)나라지, 넌 여기가 어딘지도 모르고 있었던 게냐?”

여자로서는 생존조차 힘든 환경인 것도 모자라
동백을 차원이동 시킨 까마귀 자오는
그녀가 ‘앨리스’로서 살아남으려면 숙적인
‘여왕’을 찾아 죽여야 한다 말한다.

그에 동백은 남장을 하기로 결심하고,
권력자 장양의 양아들로 들어가
삼국지의 인재들을 하나둘씩 수집하며
황제의 총애를 받기에 이르는데…….

“소신, 소동백. 천자의 말씀을 받잡아 이 난세를 평정하고 돌아오겠나이다.”

때는 후한 말, 혼란과 피바람의 시대.
‘여왕’에게 맞서야 할 운명을 타고난, 책략가 소동백.
그녀의 삼국지 속에서 생존하기 프로젝트 시작.

“난 앨리스잖아. 쉽게 로그아웃하지 않는다고.”",https://ridibooks.com/books/211033146?_rdt_sid=category_6050&_rdt_idx=0,나눔
테라리움 어드벤처,romancefantasy,수하수하,https://img.ridicdn.net/cover/4159000678/xxlarge?dpi=xxhdpi#1,"<테라리움 어드벤처>
유저 다 떠나고 고인물만 남은 방치형 다이아 생산 게임 <무한 다이아>.

마지막 업적인 ‘소지 다이아 999,999,999…개 달성하기’를 완료하자마자 이상한 세계로 끌려갔다.

아직 오픈도 안 한 <테라리움 어드벤처> 안에, 내가 모은 999,999,999…개의 다이아를 들고서.

써도 써도 줄지 않는 다이아로 게임 세상 정복하기!

일러스트: dia nak",https://ridibooks.com/books/4159000001?_rdt_sid=category_6050&_rdt_idx=0,나눔
