novel_title,novel_genre,novel_writer,novel_img,novel_content,platform_kakao,나눔
시체공양으로 데미갓,fantasy,도래돗,https://dn-img-page.kakao.com/download/resource?kid=cqljLx/hzMT2a4hyU/zyLidE1kB0XexduJiyk0t1&filename=th3,"태어나 살다 죽는 것이 인생인 줄 알았다.
하지만 늘 그렇듯, 일상은 순간에 부서진다.

[다른 이들을 잡아먹고 육체를 완성하시면 됩니다.]

어느 날 손에 들어온 마법.
남자는 마법으로 자신도 몰랐던 허기를 채워나간다.

""죄의식은 느끼지 않는다. 나는 마법사들의 정점에 선다.""

[시체공양으로 데미갓]",https://page.kakao.com/content/61093861?tab_type=about,나눔
열일하는 과금 기사,fantasy,박건,https://dn-img-page.kakao.com/download/resource?kid=cnIcoc/hzb7rLf4OI/FEkWNEtVLuSoskNPkcBtK1&filename=th3,"중세랜드 생활 20년 차
그런데 그곳이 게임 속이었다고?

“인터뷰에 응해 주셔서 정말 감사합니다! 요즘 어디 가도 재연 씨 얼굴이 보일 정도로 왕성하게 활동하고 계신데요! 재연씨는 이토록 열정을 불태울 수 있는 원동력이 뭐라고 생각하시나요?”
“과금이죠.”
“그래요! 과금…… 네?”
“더 열심히 일해야 과금을 할 수 있으니까요.”
“네에에……?!”

과금을 하면 아이템과 능력을 얻을 수 있다! 그러나 결국 돈을 벌어야 과금을 하지 않겠는가?
오늘도, 그리고 내일도
기사는 열심히 일한다",https://page.kakao.com/content/56248760?tab_type=about,나눔
몽골 침략에서 살아남기,fantasy,aquablue,https://dn-img-page.kakao.com/download/resource?kid=bldiC5/hynaE0YHsR/tg0Tl2XMb4K4HiLBE90JsK&filename=th3,"중세의 어느 귀족집 아들로 환생했다.
이제 귀족으로 편하게 살려했는데 칭키스칸 몽골 시대, 유럽의 최전선에서 환생했단 걸 알게 됐다.
멸망의 길을 걷게 될 새로운 고향.
그 땅을 지키기 위한 여정이 시작된다.",https://page.kakao.com/content/60771841?tab_type=about,나눔
나는 엑스트라를 원한다,fantasy,갈아만든 배,https://dn-img-page.kakao.com/download/resource?kid=fUUbg/hzKk2dLze0/LCXHqVO5qgSiNPZBjqrsmk&filename=th3,"사람은 모두 자기 인생의 주인공이라고 하지만,
진짜 이 세상의 주인공 같은 인생을 살았다.
그것도 9번이나.
그런데 결말이 다 배드 앤딩이었다…….

그만 부려 먹어라, 망할 여신아.",https://page.kakao.com/content/60683686?tab_type=about,나눔
회귀한 영주는 쉬고 싶다,fantasy,삼또,https://dn-img-page.kakao.com/download/resource?kid=bpIFrO/hyRySPvB0O/mWUNeyYJZmqJ0ky1k8YWz0&filename=th3,"과로사로 쓰러진 수하르 칼데르트 백작, 눈을 떠보니 후계자 경합의 발표가 있었던 날이다. 꿈이라 생각한 수하르 칼데르트는 한평생 마음 속에만 담아놓았던 말을 외친다.

“저는 후계자 경합을 포기하겠습니다.”


후계자 경합을 포기한 수하르 칼데르트는 이번 삶에서 힐링라이프를 위해 움직인다.",https://page.kakao.com/content/61052882?tab_type=about,나눔
백작가의 망나니가 되었다,fantasy,유려한,https://dn-img-page.kakao.com/download/resource?kid=bMELFu/hzCs61MRIz/tIXpo7OInkhIV9AbFD0HS1&filename=th3,"눈을 떠보니 소설 속이었다.
그것도 망나니로 유명한 백작가 도련님 몸으로.

하지만,
그렇다고 망나니가 될 순 없잖아?",https://page.kakao.com/content/51863028?tab_type=about,나눔
아카데미 편의점으로 힐링 할게요,fantasy,커피는카누,https://dn-img-page.kakao.com/download/resource?kid=c4kNWe/hy41Hnp7OW/ja5rCd3v9ShGynq7aJ7hI1&filename=th3,"편의점 알바인 이영진은 즐겨하던 게임 D/Z SAGA의 악역 삼류 황자 울프람에 빙의된다.
아카데미에서 쫓겨나는 '데드엔딩'을 피하기 위해 매점 하나를 인수해 편의점으로 삼아 필사적으로 운영한다.
스토리 진행? 그건 주역인 너희들이나 해라. 나는 편의점이나 운영하련다.
온갖 다양한 편의점 상품과 아이디어로 생존에 도전하는 울프람. 하지만, 그런 달라진 울프람의 움직임을 착각하는 사람들이 있었다?",https://page.kakao.com/content/57770018?tab_type=about,나눔
"인조, 명군이 되다",fantasy,구오(句汚),https://dn-img-page.kakao.com/download/resource?kid=mCLah/hzHNBa2KD7/jjWbGp3lJaN3fEsQkXRHo1&filename=th3,"-함부로 지껄이는구나. 너라고 나보다 잘할 것 같으냐?

밤새 키보드 배틀을 떠서 이긴 상대가 인조였다...?
아니, 이건 아니지.
그래도 내가 너보단 잘한다!
인조반정 전날로 끌려간 역사덕후. 조선을 바꾸다!",https://page.kakao.com/content/60066114?tab_type=about,나눔
삼국지 천재 조앙으로 환생하다,fantasy,정성우,https://dn-img-page.kakao.com/download/resource?kid=b9F8dc/hzMT3HuA8U/dctK3fdYGdAU67lhOWoG2k&filename=th3,"조조의 아들 조앙으로 환생했다.
하필이면 오늘은 조조가 추씨 부인과 뜨거운 밤을 보내는 날.
바로 내가 죽음을 맞이하는 날 이다.",https://page.kakao.com/content/60868184?tab_type=about,나눔
과학 강국 조선,fantasy,선우선사,https://dn-img-page.kakao.com/download/resource?kid=cohzWJ/hzCtfYqb2Z/ACciJ1FiP9mEl33MgpRaq0&filename=th3,"국방 과학 연구소 기계 공학 박사 김철수! 어느날 눈 떠보니 단종이 되다!
전생에 장가도 못 갔는데... 이번 생은 꽃피기도 전에 죽으라고? 누구 마음대로!
내 목숨은 내가 챙길 것이다!

세종 때 이룬 과학 력은 덤이다!!!",https://page.kakao.com/content/59512628?tab_type=about,나눔
